record_year,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
2018,BMW 330i,2.0,4.0,Man-6,2WD,Gasoline,CA,small car,7,21,32,25,5,No
2018,BMW 330i,2.0,4.0,Man-6,2WD,Gasoline,FA,small car,7,21,32,25,5,No
2018,BMW 330i,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,small car,7,24,34,27,6,No
2018,BMW 330i,2.0,4.0,SemiAuto-8,2WD,Gasoline,FA,small car,7,24,34,27,6,No
2018,BMW 330i,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,small car,7,23,33,27,6,No
2018,BMW 330i,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,small car,7,23,33,27,6,No
2018,BMW 330i Gran Turismo,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,large car,7,23,33,27,6,No
2018,BMW 330i Gran Turismo,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,large car,7,23,33,27,6,No
2018,BMW 330i Sports Wagon,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,station wagon,7,23,33,27,6,No
2018,BMW 330i Sports Wagon,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,station wagon,7,23,33,27,6,No
2018,BMW 340i,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,3,19,29,23,5,No
2018,BMW 340i,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,3,19,29,23,5,No
2018,BMW 340i,3.0,6.0,Man-6,4WD,Gasoline,CA,small car,3,19,29,23,5,No
2018,BMW 340i,3.0,6.0,Man-6,4WD,Gasoline,FA,small car,3,19,29,23,5,No
2018,BMW 340i,3.0,6.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,21,32,25,5,No
2018,BMW 340i,3.0,6.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,21,32,25,5,No
2018,BMW 340i,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,small car,3,21,31,25,5,No
2018,BMW 340i,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,small car,3,21,31,25,5,No
2018,BMW 340i Gran Turismo,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,large car,3,20,29,23,5,No
2018,BMW 340i Gran Turismo,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,large car,3,20,29,23,5,No
2018,BMW 430i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,small car,7,24,34,27,6,No
2018,BMW 430i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,FA,small car,7,24,34,27,6,No
2018,BMW 430i Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,small car,7,22,32,26,5,No
2018,BMW 430i Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,small car,7,22,32,26,5,No
2018,BMW 430i Coupe,2.0,4.0,Man-6,2WD,Gasoline,CA,small car,7,21,33,25,5,No
